dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Lotus stem pickle (Kamal kakdi ka achar),-0.6988855857130655,0.10252295432911533,-0.9627904526447318,-0.7175137084611015,-0.5087876478143113,2.388774544425427,-0.1710193551015846,1.1549471701330936,12.783952065898587,-0.08921318185390326,-0.7483553801469084,0.10252295432911533,-0.9627904526447318,-0.7175137084611014,1.4782300119591,-0.4307063105795182,-0.8995085528196936
Date pickle (Khajoor ka achaar),-0.2743679647019028,0.9742090512205633,-0.893044253318181,-0.5898368667096346,1.7494975766349883,1.1686702888487859,-0.19557668631909847,-0.2727723164671425,0.5414383820053267,-0.433960813741274,-0.48461156781774184,0.9742090512205633,-0.893044253318181,-0.5898368667096346,1.3966993302283113,-0.5314636241409795,-0.7525911926091968
Garlic pickle (Lahasun ka achar),0.9593463728422212,-0.5140500765084273,-0.300201559042498,1.155079970560412,-0.5257611588069508,1.1434018575202756,-0.12113316841373756,-0.07739549146168631,0.44933994483471645,-0.2838850729759056,-0.48061544944911805,-0.5140500765084273,-0.300201559042498,1.1550799705604118,-1.162686075134964,-0.5361238986628373,0.6809977020828698
Fermented bamboo shoot pickle (Mesu pickle),-0.9274637922022416,-0.9932085752794632,-0.9221051697042438,-0.522329571070928,-0.6898384317358013,0.10017662124320664,-0.1827465237444374,-0.64171853042961,-0.29402601232806613,0.20240686221730353,-0.3443668422141374,-0.9932085752794632,-0.9221051697042438,-0.522329571070928,-1.080588395195379,-0.17108623211920468,0.6226230753340625
Sweet peach pickle (Aadoo ka achaar),-0.47516053293142885,1.1146108557232983,-1.2475874332281482,-0.7859993707032676,2.23364677113933,-0.2319227619315005,-0.25605275775119807,-0.7104045364869572,-0.5308505650524924,-0.28272169514051515,-0.6229533799124778,1.1146108557232983,-1.2475874332281482,-0.7859993707032674,2.4068451175520518,-0.6579845379548582,-1.1771101149823264
Pickled mustard greens ,-1.1765745720694705,-1.0338354804121694,-0.942447811174488,-0.7850210040998081,-0.7116615172977665,-0.09475127757673021,-0.13642649360295495,0.31988555437325056,0.05463235696067258,11.127688114369041,9.691218420856268,-1.0338354804121694,-0.942447811174488,-0.785021004099808,-0.29516426899400783,1.687878675894204,-0.8762921769191322
Small onion pickle ,-1.1566286436450768,-0.9316707630931581,-0.9017625282339998,-0.7644753054271582,-0.47160757611614806,-0.31494760772517727,-0.1323574175436415,-0.41429812592439785,0.04147543736487111,0.18301723162746267,-0.4631086451675284,-0.9316707630931581,-0.9017625282339998,-0.7644753054271582,0.9904974551965068,1.3267755316802277,-0.4619588534393669
Green tomato pickle (Haray tamatar ka achaar),-0.21586346341430912,-0.9250987637334556,-1.0238183770554639,0.16644051776457122,-0.6510418351811963,-0.08031217396043859,-0.18396381756555225,-0.6773225076515611,-0.24139833394486027,-0.24975932313778562,-0.6486427122822018,-0.9250987637334556,-1.0238183770554639,0.16644051776457125,-1.2967046724668367,-0.5912384195245948,0.7858546607388628
Pickled cabbage ,-1.1735346845823302,-0.9436198528380717,-1.2679300746983921,-0.7889344705136461,-0.5451594570842534,-0.4882168511206767,-0.2055607816500263,-0.6515096241656465,-0.6229490022231027,0.0767620559951346,-0.33637460547688997,-0.9436198528380717,-1.2679300746983921,-0.7889344705136461,1.348469495962384,-0.12748999569781153,-1.0041982915733312
Coconut pickle (Nariyal ka aachar),1.5120725819075092,-0.4077031777786961,-0.5036279737449383,1.7337838165067159,0.012541618388193506,1.5837945178171695,-0.17404258717374305,-0.2239651976920513,0.975616728666775,-0.501824520805717,-0.67889903707321,-0.4077031777786961,-0.5036279737449383,1.7337838165067154,-1.1823823658451669,-0.6022649026242057,0.7504476351810426
