dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23,9.2,34.4,159.93,4.520662375313252,16.903346272910422,78.58581887867919
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43,81.96,22.72,97.38,40.30291109362706,11.17230527143981,47.88552321007081
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23,38.24,36.04,101.25,21.69399217110115,20.445906847449933,57.440290463493504
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57,48.96,15.48,59.13,39.11167918197795,12.366192682537145,47.23598018852852
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42,82.92,15.16,63.089999999999996,51.17886680656709,9.3568695222812,38.939637081841745
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,101.0,157.22,1.12,0.73,19.12,109.28,27.92,137.60999999999999,40.17942495771747,10.265460695639385,50.59563203176703
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33,1.0,7.8,12.419999999999998,4.690431519699812,36.58536585365854,58.25515947467166
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92,3.84,1.2,12.419999999999998,21.818181818181813,6.8181818181818175,70.5681818181818
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19,1.48,14.76,13.59,4.953145917001338,49.397590361445786,45.48192771084337
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91,13.8,19.16,109.98,17.234919445485204,23.92906207068815,137.35481453727988
